ConsumerRecord(topic='CACG', partition=0, offset=71, timestamp=1650521877013, timestamp_type=0, key=None, value=b'47.375', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=72, timestamp=1650521878119, timestamp_type=0, key=None, value=b'47.39', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=73, timestamp=1650521879225, timestamp_type=0, key=None, value=b'47.553', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=74, timestamp=1650521880330, timestamp_type=0, key=None, value=b'47.41', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=75, timestamp=1650521881435, timestamp_type=0, key=None, value=b'47.42', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=76, timestamp=1650521882540, timestamp_type=0, key=None, value=b'47.56', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=77, timestamp=1650521883648, timestamp_type=0, key=None, value=b'47.74', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=78, timestamp=1650521884753, timestamp_type=0, key=None, value=b'47.6785', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=79, timestamp=1650521885858, timestamp_type=0, key=None, value=b'47.6247', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=80, timestamp=1650521886964, timestamp_type=0, key=None, value=b'47.7399', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=81, timestamp=1650521888069, timestamp_type=0, key=None, value=b'47.74', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=82, timestamp=1650521889175, timestamp_type=0, key=None, value=b'47.73', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=83, timestamp=1650521890280, timestamp_type=0, key=None, value=b'47.67', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=84, timestamp=1650521891386, timestamp_type=0, key=None, value=b'47.8186', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=85, timestamp=1650521892490, timestamp_type=0, key=None, value=b'47.83', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=86, timestamp=1650521893596, timestamp_type=0, key=None, value=b'47.97', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=87, timestamp=1650521894701, timestamp_type=0, key=None, value=b'47.4567', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=88, timestamp=1650521895806, timestamp_type=0, key=None, value=b'47.405', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=89, timestamp=1650521896913, timestamp_type=0, key=None, value=b'47.4404', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
